#Participant #,framerate,delay (units of frames),quantizer,ssim (dB),qoe-score
16,20,10,33,10.8654,3
16,20,5,40,10.0193,2
16,20,20,26,14.5772,3
16,20,10,26,14.9901,4
16,20,1,33,12.4273,5
16,20,20,33,11.5768,3
16,20,10,40,10.161,2
16,20,1,40,8.84821,4
17,20,1,26,18.8231,5
17,20,5,33,12.0321,4
17,20,10,33,12.0607,4
17,20,20,33,12.2996,2
17,20,1,40,9.40363,3
17,20,20,40,8.69317,1
17,20,10,26,15.2836,4
17,20,10,40,8.93281,3
17,20,1,33,11.1205,4
17,20,5,40,9.96604,2
17,20,5,26,15.0847,5
17,20,20,26,14.6058,2
